"Campaign","Keyword","Criterion Type"
"C1 | Laser","depilacion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","descuento","Campaign Negative Broad"
"C4 | Dermatologa Palermo","cuotas","Campaign Negative Broad"
"C4 | Dermatologa Palermo","2x1","Campaign Negative Broad"
"C4 | Dermatologa Palermo","hot sale","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","black friday","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","groupon","Campaign Negative Broad"
"C4 | Dermatologa Palermo","casero","Campaign Negative Broad"
"C4 | Dermatologa Palermo","caseros","Campaign Negative Broad"
"C4 | Dermatologa Palermo","remedio","Campaign Negative Broad"
"C4 | Dermatologa Palermo","remedios","Campaign Negative Broad"
"C4 | Dermatologa Palermo","receta casera","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","natural","Campaign Negative Broad"
"C4 | Dermatologa Palermo","a domicilio","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","spa","Campaign Negative Broad"
"C4 | Dermatologa Palermo","masajes","Campaign Negative Broad"
"C4 | Dermatologa Palermo","relleno de labios","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","aumento de labios","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","acido hialuronico labios","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","relleno facial","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","hilos tensores","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","lifting","Campaign Negative Broad"
"C4 | Dermatologa Palermo","liposuccion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","lipoaspiracion","Campaign Negative Broad"
"C4 | Dermatologa Palermo","abdominoplastia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","protesis mamarias","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","aumento de busto","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","rinoplastia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","bichectomia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","criolipolisis","Campaign Negative Broad"
"C4 | Dermatologa Palermo","celulitis","Campaign Negative Broad"
"C4 | Dermatologa Palermo","farmacia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","comprar crema","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","pomada","Campaign Negative Broad"
"C4 | Dermatologa Palermo","comprar","Campaign Negative Broad"
"C4 | Dermatologa Palermo","venta","Campaign Negative Broad"
"C4 | Dermatologa Palermo","maquina","Campaign Negative Broad"
"C4 | Dermatologa Palermo","equipo laser","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","aparatologia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","insumos","Campaign Negative Broad"
"C4 | Dermatologa Palermo","mayorista","Campaign Negative Broad"
"C4 | Dermatologa Palermo","distribuidor","Campaign Negative Broad"
"C4 | Dermatologa Palermo","alquiler","Campaign Negative Broad"
"C4 | Dermatologa Palermo","usado","Campaign Negative Broad"
"C4 | Dermatologa Palermo","mexico","Campaign Negative Broad"
"C4 | Dermatologa Palermo","colombia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","chile","Campaign Negative Broad"
"C4 | Dermatologa Palermo","uruguay","Campaign Negative Broad"
"C4 | Dermatologa Palermo","espana","Campaign Negative Broad"
"C4 | Dermatologa Palermo","madrid","Campaign Negative Broad"
"C4 | Dermatologa Palermo","barcelona","Campaign Negative Broad"
"C4 | Dermatologa Palermo","miami","Campaign Negative Broad"
"C4 | Dermatologa Palermo","turquia","Campaign Negative Broad"
"C4 | Dermatologa Palermo","peru","Campaign Negative Broad"
"C4 | Dermatologa Palermo","cordoba","Campaign Negative Broad"
"C4 | Dermatologa Palermo","rosario","Campaign Negative Broad"
"C4 | Dermatologa Palermo","mendoza","Campaign Negative Broad"
"C4 | Dermatologa Palermo","la plata","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","mar del plata","Campaign Negative Phrase"
"C4 | Dermatologa Palermo","veterinario","Campaign Negative Broad"
"C4 | Dermatologa Palermo","perro","Campaign Negative Broad"
"C4 | Dermatologa Palermo","gato","Campaign Negative Broad"
